,empty_slots,free_bikes,latitude,longitude,name,timestamp,ebikes,has_ebikes,extra.renting,extra.returning,total_bikes
145,7,0,45.5717805,-122.6564844,NE Dekum at Oneonta St,2023-04-22T01:56:16.197000Z,0,True,1,1,7
146,3,5,45.5517567,-122.5398468,NE Shaver west of 122nd Ave (Parkrose HS),2023-04-22T01:56:16.198000Z,5,True,1,1,9
147,1,1,45.5627673,-122.6598278,NE Killingsworth at 6th Ave,2023-04-22T01:56:16.200000Z,1,True,1,1,2
148,4,3,45.5590714,-122.646602,NE Alberta at 18th,2023-04-22T01:56:16.202000Z,3,True,1,1,9
149,9,2,45.5335216,-122.5582468,NE Halsey at 102nd,2023-04-22T01:56:16.205000Z,2,True,1,1,11
150,5,0,45.576983,-122.6819395,N Interstate Ave at Lombard,2023-04-22T01:56:16.219000Z,0,True,1,1,5
151,6,0,45.5477847,-122.6812779,N Fremont at Interstate Ave,2023-04-22T01:56:16.223000Z,0,True,1,1,6
152,2,1,45.4950271,-122.6076627,SE Foster at 54th Ave,2023-04-22T01:56:16.230000Z,1,True,1,1,3
153,5,0,45.5140185,-122.5642134,SE 96th Ave at Main,2023-04-22T01:56:16.233000Z,0,True,1,1,5
154,4,2,45.5311,-122.56249,NE 99th at Multnomah St,2023-04-22T01:56:16.238000Z,2,True,1,1,8
155,3,1,45.5653576,-122.5887471,Cully Park,2023-04-22T01:56:16.239000Z,1,True,1,1,5
156,4,2,45.5191725,-122.5822778,SE Stark at 79th Ave,2023-04-22T01:56:16.244000Z,2,True,1,1,6
157,6,2,45.584012,-122.6867319,N Denver at Interstate Ave,2023-04-22T01:56:16.245000Z,2,True,1,1,9
158,0,5,45.5664345,-122.6205956,NE Ainsworth at 42nd Ave,2023-04-22T01:56:16.247000Z,5,True,1,1,5
159,4,1,45.5760937,-122.7290524,N Willamette Blvd at Portsmouth,2023-04-22T01:56:16.250000Z,1,True,1,1,5
160,5,7,45.53577751,-122.620613,NE 41st at Sandy Blvd (Hollywood Theatre),2023-04-22T01:56:16.253000Z,7,True,1,1,12
161,4,1,45.5103826,-122.6672484,Kerr Bikes/Adaptive BIKETOWN,2023-04-22T01:56:16.254000Z,1,True,1,1,7
162,4,1,45.5554316,-122.5890544,NE Prescott at 72nd Ave,2023-04-22T01:56:16.256000Z,1,True,1,1,5
163,5,2,45.5842278,-122.7460359,N Willamette at Buchanan,2023-04-22T01:56:16.262000Z,2,True,1,1,7
164,12,2,45.5159726,-122.6791195,SW 5th at Main,2023-04-22T01:56:16.264000Z,2,True,1,1,14
165,0,4,45.5482433,-122.6409548,NE Fremont at 24th,2023-04-22T01:56:16.268000Z,4,True,1,1,5
166,3,0,45.5130553,-122.6877767,Epler Hall,2023-04-22T01:56:16.281000Z,0,True,1,1,3
167,1,2,45.5127415,-122.6860864,PSU SRTC,2023-04-22T01:56:16.302000Z,2,True,1,1,4
168,7,2,45.4994679,-122.6854443,OHSU Marquam Hill,2023-04-22T01:56:16.323000Z,2,True,1,1,9
169,0,3,45.5604984,-122.6621038,NE Sumner at MLK,2023-04-22T01:56:16.326000Z,3,True,1,1,3
170,1,0,45.5081532,-122.5978065,SE 64th at Lincoln St,2023-04-22T01:56:16.327000Z,0,True,1,1,3
171,3,1,45.4902606,-122.5785721,SE Holgate at 82nd Ave,2023-04-22T01:56:16.335000Z,1,True,1,1,5
172,2,3,45.5237418,-122.6703424,NW Naito at Couch,2023-04-22T01:56:16.336000Z,3,True,1,1,6
173,3,0,45.5739428,-122.7203393,N Willamette Blvd at Harvard St,2023-04-22T01:56:16.342000Z,0,True,1,1,3
174,4,1,45.5420646,-122.6308254,NE Knott at 33rd,2023-04-22T01:56:16.343000Z,1,True,1,1,5
175,4,1,45.5699526,-122.695712,N Rosa Parks at Greeley,2023-04-22T01:56:16.343000Z,1,True,1,1,5
176,9,0,45.5225034,-122.557861,E Burnside at 102nd,2023-04-22T01:56:16.345000Z,0,True,1,1,9
177,10,0,45.5464321,-122.5933109,NE 68th at Sandy,2023-04-22T01:56:16.347000Z,0,True,1,1,10
178,5,0,45.5590435,-122.6340066,NE Alberta at 31st Ave,2023-04-22T01:56:16.348000Z,0,True,1,1,5
179,10,5,45.5372206,-122.6875394,NW Front at 17th,2023-04-22T01:56:16.353000Z,5,True,1,1,15
180,3,1,45.5114539,-122.6856399,Millar Library,2023-04-22T01:56:16.354000Z,1,True,1,1,4
181,5,1,45.5840852,-122.7194481,N Willis Blvd at N Courtenay Ave,2023-04-22T01:56:16.362000Z,1,True,1,1,6
182,5,1,45.5268753,-122.5377007,NE 122nd Ave at Glisan St,2023-04-22T01:56:16.363000Z,1,True,1,1,6
183,3,7,45.4863971,-122.5889343,SE Foster at 72nd,2023-04-22T01:56:16.366000Z,7,True,1,1,12
184,9,0,45.5849334,-122.7309533,N Lombard at N Fortune,2023-04-22T01:56:16.367000Z,0,True,1,1,9
185,9,0,45.5445104,-122.5799572,NE Siskiyou at 81st Ave,2023-04-22T01:56:16.368000Z,0,True,1,1,9
186,7,2,45.5901519,-122.7547835,N Lombard at Burlington,2023-04-22T01:56:16.371000Z,2,True,1,1,9
187,3,5,45.55862047843104,-122.5638759,NE Sandy at 96th,2023-04-22T01:56:16.373000Z,5,True,1,1,8
188,11,0,45.511907,-122.6294804,SE 34th at Hawthorne,2023-04-22T01:56:16.380000Z,0,True,1,1,12
189,6,0,45.4970894,-122.686551,Doernbecher Children's Hospital,2023-04-22T01:56:16.380000Z,0,True,1,1,6
190,21,2,45.51184309,-122.68372,SW Broadway at Smith Memorial Student Union,2023-04-22T01:56:16.384000Z,2,True,1,1,23
191,7,2,45.5886277,-122.7157775,N Trenton at N Newman,2023-04-22T01:56:16.385000Z,2,True,1,1,9
192,15,3,45.5239729,-122.6932457,NW 20th Pl (Fred Meyer),2023-04-22T01:56:16.385000Z,3,True,1,1,18
193,8,0,45.5168809,-122.537776,SE 122nd at Morrison St,2023-04-22T01:56:16.386000Z,0,True,1,1,8
194,2,7,45.5868448,-122.7591351,N Pittsburg at N Crawford,2023-04-22T01:56:16.392000Z,7,True,1,1,9
195,2,0,45.5338491,-122.5470577,NE 112th at NE Weidler St,2023-04-22T01:56:16.396000Z,0,True,1,1,3
196,4,0,45.5220396,-122.537573,SE 122nd at Burnside,2023-04-22T01:56:16.398000Z,0,True,1,1,4
197,5,0,45.5591179,-122.6535114,NE Alberta at 12th,2023-04-22T01:56:16.401000Z,0,True,1,1,5
198,4,3,45.5510308,-122.5814223,NE Failing St at 79th Ave,2023-04-22T01:56:16.402000Z,3,True,1,1,7
199,5,3,45.5257231,-122.6854375,NW Flanders at 14th Ave,2023-04-22T01:56:16.416000Z,3,True,1,1,10
200,12,6,45.52556242,-122.6892561,NW 18th at Flanders,2023-04-22T01:56:16.417000Z,6,True,1,1,18
