,lat,business_id,category_name,name,address,city,state,country,transactions,reviews,rating,price_scale,price,distance_4rm_bike
106,-122.6810794,cvLkq3hxRKH--995r1gv4A,Mediterranean,Mediterranean Exploration Company,"['333 NW 13th Ave', 'Portland, OR 97209']",Portland,OR,US,['delivery'],925,4.5,2,$$,497
107,-122.6810794,oM-slnbPCoTqxxGKo7fx3A,Steakhouses,El Gaucho,"['319 SW Broadway', 'Portland, OR 97205']",Portland,OR,US,['delivery'],714,4.0,4,$$$$,194
108,-122.6810794,leU9-Kd1HdcICWHlmfLb8Q,Sandwiches,Lardo,"['1205 SW Washington St', 'Portland, OR 97205']",Portland,OR,US,"['delivery', 'pickup']",1225,4.0,2,$$,196
109,-122.6810794,OiCCTRe0zsKT7l3rvob7Mw,Sushi Bars,Bamboo Sushi,"['404 SW 12th Ave', 'Portland, OR 97205']",Portland,OR,US,['delivery'],713,4.0,2,$$,149
110,-122.6810794,IjDXcfC08t3ZUUruUXzM0w,Thai,Farmhouse Kitchen Thai Cuisine,"['121 NW 9th Ave', 'Portland, OR 97209']",Portland,OR,US,[],499,4.0,2,$$,239
111,-122.6810794,0jlUpkdXg3LCE44UKKhjqA,American (New),Portland City Grill,"['111 SW 5th Ave', 'Fl 30', 'Portland, OR 97204']",Portland,OR,US,"['delivery', 'pickup']",3285,4.0,3,$$$,403
112,-122.6810794,4JtckY28xGycs-FKhtW8zg,Korean,Toki,"['580 SW 12th Ave', 'Portland, OR 97205']",Portland,OR,US,['delivery'],233,4.0,2,$$,184
113,-122.6810794,PFWWt-IENsQibnoEqc8Obw,Tapas Bars,Sunrice,"['812 SW Washington St', 'Inside Deadshot', 'Portland, OR 97205']",Portland,OR,US,[],30,4.5,2,$$,110
114,-122.6810794,sJsccWG0XZAZIm6zI8I20w,Southern,Screen Door Pearl District,"['1131 NW Couch St', 'Portland, OR 97209']",Portland,OR,US,['delivery'],576,4.5,2,$$,259
115,-122.6810794,SU89RDasriEghDchbNoZsw,Seafood,Jake's Grill,"['611 SW 10th Ave', 'Portland, OR 97205']",Portland,OR,US,"['delivery', 'pickup']",842,3.5,2,$$,162
116,-122.6810794,zn6v37LzwfjdU_CwD5YJKA,Seafood,Southpark Seafood,"['901 SW Salmon St', 'Portland, OR 97205']",Portland,OR,US,"['delivery', 'pickup']",1509,4.0,3,$$$,426
117,-122.6533681,JTNfXNofJDYI67VC62aEiQ,Sandwiches,Double Dragon,"['1235 SE Division St', 'Portland, OR 97214']",Portland,OR,US,"['delivery', 'pickup']",480,4.0,2,$$,21
118,-122.6533681,FZcBqffMCNRViskfh6eCNQ,Breakfast & Brunch,Pine State Biscuits,"['1100 SE Division St', 'Ste 100', 'Portland, OR 97202']",Portland,OR,US,"['delivery', 'pickup']",1289,4.5,2,$$,101
119,-122.6533681,1VKmliv6tfXmM-X6c7e6Dg,Pizza,Virtuous Pie,"['1126 SE Division St', 'Portland, OR 97202']",Portland,OR,US,['delivery'],398,4.5,2,$$,73
120,-122.6533681,7b9FxHuXKEd7krK4TZ-ycg,African,Akadi PDX,"['1001 SE Division', 'Unit 2', 'Portland, OR 97202']",Portland,OR,US,"['delivery', 'pickup']",236,4.5,2,$$,159
121,-122.6533681,i7UQlF1wJnQ7CZe4-BJ3FA,American (New),Genie's Cafe,"['1101 SE Division St', 'Portland, OR 97202']",Portland,OR,US,['delivery'],528,4.0,2,$$,96
122,-122.6533681,Xph7Vfqxyjyynr-aE06fMg,Cocktail Bars,Palomar,"['959 SE Division St', 'Portland, OR 97214']",Portland,OR,US,['delivery'],212,4.5,2,$$,240
123,-122.6533681,7JAIkahpD29re03WdgpunQ,Sandwiches,The Baker's Mark,"['1126 SE Division St', 'Ste 180', 'Portland, OR 97202']",Portland,OR,US,['delivery'],256,4.5,1,$,90
124,-122.6533681,-3VQI-QXI7fr4TWH0d8p5A,Mexican,Taqueria Los Gorditos,"['1212 SE Division St', 'Portland, OR 97202']",Portland,OR,US,['delivery'],477,3.5,1,$,29
125,-122.6533681,emidxwlFmNndQt9Ehfmlyg,"Beer, Wine & Spirits",The Beermongers,"['2415 SE 11th Ave', 'Portland, OR 97202']",Portland,OR,US,[],239,4.5,1,$,146
126,-122.6533681,pdNUcHhhYopXDXmA9o8J0A,Bars,Apex Bar,"['1216 SE Division St', 'Portland, OR 97202']",Portland,OR,US,[],421,3.5,1,$,52
127,-122.6533681,_lp_5FcVTI-8SJD-g_C51Q,Performing Arts,Funhouse Lounge,"['2432 SE 11th Ave', 'Portland, OR 97202']",Portland,OR,US,[],122,4.0,2,$$,84
128,-122.6533681,4ElGaADw_6n5eDwisy3o2A,Coffee & Tea,Best Friend Juice & Espresso,"['1121 SE Division St', 'Portland, OR 97202']",Portland,OR,US,"['delivery', 'pickup']",77,4.5,1,$,64
129,-122.6533681,u6eg07XArAoMi9qeIXyL4g,Cocktail Bars,Deadshot,"['2133 SE 11th Ave', 'Portland, OR 97214']",Portland,OR,US,['delivery'],84,4.5,2,$$,277
