,reviews,rating,ebikes,total_bikes
2363,157,4.0,0,5
2364,309,4.0,0,5
2365,499,3.5,0,5
2366,109,4.5,0,5
2367,267,4.0,0,5
2368,17,4.0,0,5
2369,77,3.5,0,5
2370,1337,4.0,7,7
2371,362,4.0,7,7
2372,873,4.0,7,7
2373,496,4.0,7,7
2374,374,4.5,7,7
2375,1329,4.0,7,7
2376,1076,4.5,7,7
2377,751,4.0,7,7
2378,222,4.5,7,7
2379,106,4.0,7,7
2380,71,4.0,7,7
2381,120,4.0,7,7
2382,968,4.0,7,7
2383,191,4.5,7,7
2384,130,4.0,7,7
2385,178,3.5,7,7
2386,373,4.5,7,7
2387,123,4.0,7,7
2388,72,4.5,7,7
2389,120,3.5,7,7
2390,96,3.5,0,9
2391,39,4.5,0,9
2392,193,4.0,0,9
2393,31,5.0,0,9
2394,1,4.0,0,9
2395,5,4.0,0,9
2396,61,4.5,0,8
2397,156,4.0,0,8
2398,85,3.0,0,8
2399,54,4.0,0,8
2400,9,2.5,0,8
2401,21,3.0,0,8
2402,42,3.0,0,8
2403,56,1.5,0,8
2404,4899,4.5,2,7
2405,1743,4.5,2,7
2406,223,4.0,2,7
2407,362,5.0,2,7
2408,3285,4.0,2,7
2409,457,4.0,2,7
2410,590,4.0,2,7
2411,83,4.5,2,7
2412,251,4.5,2,7
2413,309,4.0,2,7
2414,440,4.5,2,7
2415,145,3.0,2,7
2416,284,4.5,2,7
2417,1151,4.0,2,7
2418,164,4.5,2,7
2419,1403,4.0,2,7
2420,595,4.5,2,7
2421,443,3.5,2,7
2422,190,3.5,2,7
2423,742,4.0,2,7
2424,611,4.0,1,7
2425,159,4.0,1,7
2426,64,3.5,1,7
2427,31,4.0,1,7
2428,3,3.5,1,7
2429,74,4.5,0,9
2430,125,4.0,0,9
2431,109,5.0,0,9
2432,50,4.5,0,9
2433,47,5.0,0,9
2434,74,5.0,0,9
2435,52,4.5,0,9
2436,29,4.0,0,9
2437,103,4.5,0,9
2438,51,3.0,0,9
2439,53,1.5,0,9
2440,32,3.5,0,9
2441,2,1.5,0,9
2442,4,3.0,0,9
2443,3949,4.0,2,6
2444,917,4.5,2,6
2445,1509,4.0,2,6
2446,1784,4.0,2,6
2447,1099,4.0,2,6
2448,589,4.0,2,6
2449,588,4.0,2,6
2450,361,4.0,2,6
2451,1689,3.5,2,6
2452,225,4.0,2,6
2453,631,4.5,2,6
2454,377,4.5,2,6
2455,344,4.0,2,6
2456,363,4.0,2,6
2457,614,4.5,2,6
2458,873,4.0,2,6
2459,743,3.5,2,6
2460,140,3.0,2,6
2461,183,4.5,2,6
2462,96,5.0,2,6
2463,589,4.0,0,4
2464,79,4.0,0,4
2465,948,4.0,0,4
2466,143,3.0,0,4
2467,137,3.5,0,4
2468,262,4.5,0,4
2469,377,4.5,0,4
2470,106,4.5,0,4
2471,1784,4.0,0,4
2472,155,3.5,0,4
2473,159,5.0,0,4
2474,363,4.0,0,4
2475,406,4.5,0,4
2476,28,4.0,0,4
2477,80,5.0,0,4
2478,69,4.5,0,4
2479,225,3.0,0,4
2480,74,4.0,0,4
2481,332,4.0,0,4
2482,99,4.5,0,4
2483,69,4.5,6,4
2484,74,4.0,6,4
2485,948,4.0,6,4
2486,332,4.0,6,4
2487,79,4.0,6,4
2488,262,4.5,6,4
2489,226,3.0,6,4
2490,13,5.0,6,4
2491,143,3.0,6,4
2492,47,4.0,6,4
2493,80,5.0,6,4
2494,100,4.5,6,4
2495,106,4.5,6,4
2496,83,4.5,6,4
2497,137,3.5,6,4
2498,133,2.5,6,4
2499,225,3.0,6,4
2500,38,4.5,6,4
2501,28,4.0,6,4
2502,34,4.0,6,4
2503,1054,4.0,2,9
2504,499,4.0,2,9
2505,3427,4.0,2,9
2506,355,4.0,2,9
2507,714,4.0,2,9
2508,214,4.0,2,9
2509,225,4.0,2,9
2510,3285,4.0,2,9
2511,925,4.5,2,9
2512,3202,4.5,2,9
2513,4899,4.5,2,9
2514,576,4.5,2,9
2515,1812,4.0,2,9
2516,2409,4.5,2,9
2517,221,4.5,2,9
2518,1971,4.0,2,9
2519,597,4.0,2,9
2520,206,4.0,2,9
2521,1099,4.0,2,9
2522,840,3.5,2,9
2523,62,4.5,5,4
2524,73,4.0,5,4
2525,59,4.5,5,4
2526,23,3.5,5,4
2527,105,4.5,0,10
2528,65,3.5,0,10
2529,205,4.5,0,10
2530,45,4.5,0,10
2531,116,4.5,0,10
2532,150,4.5,0,10
2533,35,4.5,0,10
2534,80,5.0,0,10
2535,138,4.5,0,10
2536,33,4.5,0,10
2537,102,4.5,0,10
2538,32,4.5,0,10
2539,39,2.5,0,10
2540,48,4.5,0,10
2541,40,4.0,0,10
2542,28,5.0,0,10
2543,21,4.0,0,10
2544,18,2.5,0,10
2545,38,2.0,0,10
2546,8,4.0,0,10
2547,161,3.5,1,6
2548,119,4.5,1,6
2549,136,4.0,1,6
2550,302,4.0,1,6
2551,78,4.5,1,6
2552,282,4.0,1,6
2553,20,3.5,1,6
2554,18,3.5,1,6
2555,690,4.0,0,7
2556,472,4.0,0,7
2557,292,4.5,0,7
2558,197,3.5,0,7
2559,211,4.0,0,7
2560,191,4.0,0,7
2561,102,4.5,0,7
2562,53,3.5,0,7
2563,143,3.5,5,9
2564,88,2.5,5,9
2565,66,3.0,5,9
2566,20,4.0,5,9
2567,48,1.5,5,9
2568,8,2.5,5,9
2569,105,4.5,1,2
2570,205,4.5,1,2
2571,150,4.5,1,2
2572,138,4.5,1,2
2573,116,4.5,1,2
2574,80,5.0,1,2
2575,33,4.5,1,2
2576,32,4.5,1,2
2577,40,4.0,1,2
2578,914,4.0,1,2
2579,107,4.5,1,2
2580,769,3.5,1,2
2581,116,4.5,1,2
2582,48,4.5,1,2
2583,21,4.0,1,2
2584,161,4.0,1,2
2585,135,4.0,1,2
2586,28,5.0,1,2
2587,244,4.5,1,2
2588,22,4.0,1,2
2589,431,4.5,3,9
2590,1394,4.5,3,9
2591,408,4.5,3,9
2592,306,4.0,3,9
2593,752,4.5,3,9
2594,4045,4.5,3,9
2595,565,5.0,3,9
2596,649,4.5,3,9
2597,186,3.5,3,9
2598,78,4.5,3,9
2599,192,4.0,3,9
2600,1928,4.5,3,9
2601,1872,4.5,3,9
2602,1029,4.0,3,9
2603,365,4.0,3,9
2604,39,4.0,3,9
2605,192,4.5,3,9
2606,311,4.0,3,9
2607,1559,4.0,3,9
2608,491,4.0,3,9
2609,105,4.0,2,11
2610,102,3.0,2,11
2611,220,4.0,2,11
2612,35,2.5,2,11
2613,23,4.0,2,11
2614,110,2.5,2,11
2615,20,3.5,2,11
2616,43,3.0,2,11
2617,27,1.5,2,11
2618,16,3.0,2,11
2619,49,3.0,2,11
2620,4,2.5,2,11
2621,5,3.0,2,11
2622,165,4.5,0,5
2623,57,4.0,0,5
2624,59,3.0,0,5
2625,36,2.0,0,5
2626,66,3.5,0,5
2627,20,2.5,0,5
2628,34,2.5,0,5
2629,7,1.5,0,5
2630,18,3.5,0,5
2631,6,2.5,0,5
2632,415,4.0,0,6
2633,962,3.5,0,6
2634,1562,4.0,0,6
2635,1314,4.0,0,6
2636,371,4.0,0,6
2637,279,4.5,0,6
2638,500,4.0,0,6
2639,210,4.0,0,6
2640,454,4.0,0,6
2641,475,4.0,0,6
2642,479,4.0,0,6
2643,61,5.0,0,6
2644,125,4.5,0,6
2645,170,4.0,0,6
2646,54,4.5,0,6
2647,321,3.5,0,6
2648,438,3.5,0,6
